product_code,brand,ad_name,family,colorway,tier,is_primary_listing,restockable,notes
28178135894,askalabel,Gantari Kids by Aska Label - Gamis Eid anak wanita dress anak wanita dengan details lace,gantari,,,,,
51808599128,askalabel,Isvara by Aska Label - Atasan wanita 100% katun dengan details bordir scallop dan tekstur linen,isvara,,,,,
29070808286,askalabel,"Kandara by Aska Label - Celana panjang wanita celana kulot pinggang full karet jumbo warna putih, abu, coksu, hitam",kandara,,,,,
28294167929,askalabel,Zivara by Aska Label - Dress wanita dengan details lace busui friendly,zivara,,,,,
56204044398,askalabel,Khaira by Aska Label - Atasan wanita rayon premium dengan details pita ikat,khaira,,,,,
28326782312,askalabel,Ambara by Aska Label - Gamis polos wanita bahan tekstur dan flowy dress wanita lurus,ambara,,,,,
44205817334,askalabel,Akara by Aska Label - Atasan rayon wanita asimetris busui friendly blouse wanita bahan rayon,akara,,,,,
22222831533,askalabel,"Aneska Outer & Arsha Dress by Aska Label - Set dress wanita dan outerwear wanita bahan bertekstur, inner gamis tanpa lengan dan outer tipis dijual terpisah warna putih offwhite, beige, mint, dusty pink [5]",aneska,,,,,
43914469935,askalabel,Mandira Tunik by Aska Label - Tunik kaos wanita lengan panjang bahan 100% katun,mandira,,,,,
53405591042,askalabel,Praba Kids by Aska Label - Kemeja koko anak pria lengan panjang dengan bahan 100% katun,praba,,,,,
55706299516,askalabel,Alyara by Aska Label - Atasan katun wanita dengan details bordir dan payet,alyara,,,,,
1996683240,askalabel,Binar by Aska Label - Celana panjang basic dengan kantong dan pinggang full karet [3],binar,,,,,
29660306574,askalabel,Agnia by Aska Label - Rok wanita dengan kantong dan pinggang karet [3],agnia,,,,,
24013659459,askalabel,Taima Kids by Aska Label - Dress anak wanita gamis anak pleats warna ice grey dan coksu [3],taima,,,,,
21375453300,askalabel,"Asvari by Aska Label - Gamis wanita plisket, dress pleats lengan panjang warna ungu muda, abu tua, hitam black [7]",asvari,,,,,
22619999869,askalabel,Akshaya by Aska Label - Tunik wanita blouse bahan crinkle anti kusut warna Bone abu dan dusty lilac [6],akshaya,,,,,
22643268011,askalabel,Aria by Aska Label - Tunik wanita plisket atasan blouse wanita aksen pita ikat di bagian leher dan plisket di bagian samping [6],aria,,,,,
29973461315,askalabel,Khansa by Aska Label - Dress wanita polos gamis basic wanita bahan crinkle anti kusut busui friendly warna mocca dusty pink coklat [3],khansa,,,,,
48506243984,askalabel,Zahren Kids by Aska Label -  Dress anak wanita sarimbit keluarga dengan bahan rayon premium,zahren,,,,,
45908629757,askalabel,Aneira Top by Aska Label - Atasan wanita dengan details drapery yang manis dengan bahan ceruty yang lembut dan flowy,aneira,,,,,
28760306170,askalabel,Bintari by Aska Label - Atasan wanita plisket asimetris pleats blouse wanita [3],bintari,,,,,
48406247801,askalabel,Arin by Aska Label -  Rok wanita dengan pinggang karet elastis dan bahan flowy,arin,,,,,
27629785912,askalabel,Ishwari by Aska Label - Atasan Eid wanita dengan details kombinasi pleats dan lace,ishwari,,,,,
22836095836,askalabel,"Avana by Aska Label - Gamis wanita dress wanita lengan panjang bahan rayon premium full kancing depan warna dusty blue, dusty lilac, brick teracota, hitam black [6]",avana,,,,,
25471879987,askalabel,Advaya by Aska Label - Mukena dengan details lace dan ikat pada bagian kepala dan pouch. [4],advaya,,,,,
42514475599,askalabel,Ishani Dress by Aska Label - Dress wanita A line gamis wanita lengan panjang dengan details serut dan bahan tekstur,ishani,,,,,
28124888668,askalabel,Arkha by Aska Label - Blouse wanita kaos wanita kombinasi plisket,arkha,,,,,
